"src","dest","direction"
"898","1874","undirected"
"898","2932","undirected"
"898","5934","undirected"
"898","6502","undirected"
"9134","1017","undirected"
"900","1029","undirected"
"900","4193","undirected"
"900","7157","undirected"
"900","7161","undirected"
"901","5515","undirected"
"901","5526","undirected"
"901","5527","undirected"
"2826","10563","undirected"
"1234","920","undirected"
"1234","7852","undirected"
"1234","3717","undirected"
"1234","5296","undirected"
"1234","5747","undirected"
"1234","6774","undirected"
"1234","6777","undirected"
"929","7097","undirected"
"930","933","undirected"
"930","973","undirected"
"930","974","undirected"
"930","3732","undirected"
"930","6850","undirected"
"930","7409","undirected"
"930","7410","undirected"
"933","2885","undirected"
"933","4067","undirected"
"933","5777","undirected"
"933","6850","undirected"
"940","941","undirected"
"940","2885","undirected"
"940","5295","undirected"
"948","3290","undirected"
"948","3674","undirected"
"948","3655","undirected"
"948","3690","undirected"
"948","4067","undirected"
"948","4145","undirected"
"916","3718","undirected"
"916","4690","undirected"
"916","8440","undirected"
"916","5295","undirected"
"916","6850","undirected"
"916","7535","undirected"
"920","3732","undirected"
"920","7852","undirected"
"920","6850","undirected"
"920","7535","undirected"
"958","5437","undirected"
"958","7186","undirected"
"958","7187","undirected"
"958","7189","undirected"
"973","974","undirected"
"973","6850","undirected"
"974","6850","undirected"
"941","1493","undirected"
"3732","1956","undirected"
"3732","2064","undirected"
"3732","2065","undirected"
"3732","1839","undirected"
"3732","3683","undirected"
"942","1493","undirected"
"11140","1019","undirected"
"11140","1021","undirected"
"11140","1147","undirected"
"11140","2261","undirected"
"11140","3320","undirected"
"11140","3551","undirected"
"11140","4214","undirected"
"11140","4215","undirected"
"11140","6794","undirected"
"11140","29110","undirected"
"11140","8408","undirected"
"999","50937","undirected"
"999","1387","undirected"
"999","1495","undirected"
"999","1500","undirected"
"999","1956","undirected"
"999","2768","undirected"
"999","10672","undirected"
"999","3066","undirected"
"999","9223","undirected"
"999","4193","undirected"
"999","4233","undirected"
"999","5663","undirected"
"1017","1021","undirected"
"1017","1026","undirected"
"1017","1027","undirected"
"1017","4067","undirected"
"1017","5495","undirected"
"1017","5515","undirected"
"1017","5934","undirected"
"1017","5966","undirected"
"1017","6502","undirected"
"1017","6272","undirected"
"1017","6667","undirected"
"1017","7157","undirected"
"1017","7428","undirected"
"1019","1026","undirected"
"1019","1027","undirected"
"1019","1029","undirected"
"1019","1032","undirected"
"1019","3312","undirected"
"1019","4067","undirected"
"1019","10499","undirected"
"1019","56475","undirected"
"1019","6667","undirected"
"1021","1026","undirected"
"1021","1027","undirected"
"1021","1029","undirected"
"1021","1032","undirected"
"1021","5495","undirected"
"1021","5515","undirected"
"1026","1111","undirected"
"1026","1387","undirected"
"1026","3066","undirected"
"1026","3725","undirected"
"1026","5599","undirected"
"1026","4193","undirected"
"1026","5292","undirected"
"1026","6502","undirected"
"1026","6774","undirected"
"1026","7083","undirected"
"1026","7157","undirected"
"1027","2885","undirected"
"1027","6502","undirected"
"1027","7186","undirected"
"1027","10971","undirected"
"1029","4193","undirected"
"1029","9063","undirected"
"1029","7157","undirected"
"1036","7428","undirected"
"8837","83737","undirected"
"8837","9020","undirected"
"8837","10392","undirected"
"8837","5894","undirected"
"8837","8737","undirected"
"8837","7157","undirected"
"8837","7185","undirected"
"8837","7186","undirected"
"8837","7187","undirected"
"57680","1385","undirected"
"57680","7157","undirected"
"1111","1457","undirected"
"1111","1786","undirected"
"1111","2810","undirected"
"1111","7157","undirected"
"1131","1452","undirected"
"1147","8454","undirected"
"1147","1843","undirected"
"1147","3551","undirected"
"1147","3667","undirected"
"1147","4296","undirected"
"1147","9020","undirected"
"1147","9612","undirected"
"1147","4790","undirected"
"1147","4791","undirected"
"1147","4792","undirected"
"1147","4793","undirected"
"1147","5495","undirected"
"1147","5578","undirected"
"1147","5580","undirected"
"1147","5584","undirected"
"1147","5970","undirected"
"1147","10010","undirected"
"1147","7161","undirected"
"1147","7186","undirected"
"1154","2057","undirected"
"1154","2690","undirected"
"1154","4615","undirected"
"1277","3673","undirected"
"1277","4313","undirected"
"1277","7057","undirected"
"1277","7450","undirected"
"1280","3674","undirected"
"1280","7040","undirected"
"1280","7057","undirected"
"1282","7057","undirected"
"1291","1634","undirected"
"1385","1387","undirected"
"1385","2736","undirected"
"1385","3066","undirected"
"1385","4609","undirected"
"1385","8554","undirected"
"1385","5499","undirected"
"1385","5566","undirected"
"1385","8986","undirected"
"1385","9252","undirected"
"1385","7157","undirected"
"10488","8841","undirected"
"9586","3725","undirected"
"1387","1445","undirected"
"1387","1457","undirected"
"1387","1459","undirected"
"1387","1487","undirected"
"1387","1958","undirected"
"1387","2100","undirected"
"1387","2113","undirected"
"1387","2114","undirected"
"1387","2260","undirected"
"1387","2353","undirected"
"1387","8061","undirected"
"1387","2308","undirected"
"1387","2309","undirected"
"1387","2737","undirected"
"1387","3066","undirected"
"1387","8841","undirected"
"1387","3091","undirected"
"1387","3659","undirected"
"1387","3661","undirected"
"1387","3663","undirected"
"1387","3725","undirected"
"1387","9794","undirected"
"1387","5602","undirected"
"1387","4609","undirected"
"1387","8648","undirected"
"1387","10499","undirected"
"1387","9611","undirected"
"1387","9612","undirected"
"1387","4776","undirected"
"1387","51701","undirected"
"1387","10401","undirected"
"1387","5430","undirected"
"1387","5468","undirected"
"1387","10891","undirected"
"1387","5966","undirected"
"1387","5970","undirected"
"1387","8607","undirected"
"1387","4086","undirected"
"1387","4087","undirected"
"1387","4088","undirected"
"1387","6667","undirected"
"1387","6720","undirected"
"1387","6722","undirected"
"1387","6772","undirected"
"1387","6773","undirected"
"1387","6774","undirected"
"1387","6778","undirected"
"1387","7157","undirected"
"1398","1956","undirected"
"1398","2066","undirected"
"1398","10818","undirected"
"1398","2885","undirected"
"1398","11184","undirected"
"1398","5599","undirected"
"1398","4690","undirected"
"1398","5156","undirected"
"1398","5159","undirected"
"1398","5747","undirected"
"1398","5770","undirected"
"1398","8651","undirected"
"1398","6654","undirected"
"1398","7535","undirected"
"1399","1794","undirected"
"1399","2057","undirected"
"1399","2549","undirected"
"1399","9846","undirected"
"1399","2885","undirected"
"1399","3815","undirected"
"1399","11184","undirected"
"1399","5156","undirected"
"1399","5295","undirected"
"1399","5296","undirected"
"1399","5781","undirected"
"1399","6776","undirected"
"1399","6850","undirected"
"1399","7297","undirected"
"1436","2885","undirected"
"1436","4067","undirected"
"1436","5295","undirected"
"1436","8651","undirected"
"1436","9021","undirected"
"1441","2885","undirected"
"1441","3716","undirected"
"1441","4067","undirected"
"1441","5781","undirected"
"1441","6850","undirected"
"1443","5430","undirected"
"1445","1956","undirected"
"1445","2065","undirected"
"1445","3480","undirected"
"1445","3643","undirected"
"1445","3725","undirected"
"1445","5747","undirected"
"1445","5921","undirected"
"1447","2885","undirected"
"1447","54472","undirected"
"1452","5515","undirected"
"1452","7133","undirected"
"1453","1857","undirected"
"1455","4088","undirected"
"1457","1649","undirected"
"1457","1856","undirected"
"1457","1857","undirected"
"1457","2246","undirected"
"1457","2247","undirected"
"1457","2353","undirected"
"1457","3066","undirected"
"1457","8841","undirected"
"1457","3320","undirected"
"1457","7184","undirected"
"1457","3725","undirected"
"1457","5048","undirected"
"1457","5300","undirected"
"1457","5473","undirected"
"1457","5728","undirected"
"1457","5970","undirected"
"1457","6198","undirected"
"1457","2810","undirected"
"1457","25942","undirected"
"1459","2246","undirected"
"1459","2247","undirected"
"1459","2353","undirected"
"1459","3320","undirected"
"1459","7184","undirected"
"1459","3725","undirected"
"1459","5300","undirected"
"1459","5728","undirected"
"1459","5970","undirected"
"1487","3066","undirected"
"1487","8841","undirected"
"1487","3081","undirected"
"1487","3291","undirected"
"1487","4193","undirected"
"1487","5347","undirected"
"1487","4091","undirected"
"1487","6667","undirected"
"1487","7157","undirected"
"1493","3717","undirected"
"1493","4067","undirected"
"1493","5525","undirected"
"1495","1500","undirected"
"1495","1739","undirected"
"1495","5663","undirected"
"1500","1956","undirected"
"1500","5663","undirected"
"1500","5777","undirected"
"8454","23291","undirected"
"8454","4609","undirected"
"8454","4792","undirected"
"8454","51701","undirected"
"8454","5743","undirected"
"8454","5880","undirected"
"8454","11186","undirected"
"8454","5934","undirected"
"8454","56475","undirected"
"8454","6502","undirected"
"8454","4088","undirected"
"8454","29110","undirected"
"8454","7161","undirected"
"8452","23710","undirected"
"8452","11345","undirected"
"8452","8405","undirected"
"6387","2335","undirected"
"6387","5196","undirected"
"6374","4318","undirected"
"6372","4318","undirected"
"7852","83737","undirected"
"7852","3717","undirected"
"7852","3718","undirected"
"7852","5747","undirected"
"7852","5777","undirected"
"7852","9021","undirected"
"54205","3312","undirected"
"54205","3315","undirected"
"54205","7416","undirected"
"1603","4170","undirected"
"1634","1956","undirected"
"1634","5320","undirected"
"1634","7040","undirected"
"1634","7042","undirected"
"1649","2353","undirected"
"1649","3725","undirected"
"1649","3727","undirected"
"1649","8405","undirected"
"23586","3661","undirected"
"23586","9636","undirected"
"23586","7706","undirected"
"1606","3558","undirected"
"8526","10606","undirected"
"1609","387","undirected"
"8525","3265","undirected"
"8525","50855","undirected"
"8525","5290","undirected"
"8525","10125","undirected"
"8525","7428","undirected"
"1719","4193","undirected"
"1719","7057","undirected"
"1719","7157","undirected"
"1729","387","undirected"
"1737","5162","undirected"
"1737","5163","undirected"
"1739","1742","undirected"
"1739","2066","undirected"
"1739","2890","undirected"
"1739","2903","undirected"
"1739","2977","undirected"
"1739","3768","undirected"
"1739","3759","undirected"
"1739","3763","undirected"
"1740","1742","undirected"
